instance_id,family,split,label,slope_abs_hz_per_day,slope_hz_per_day,repeat_index,noise_seed,score_linear_drift,pred_slope_hz_per_day
linear_drift_s00_r00_y0,slow_linear_drift,train,0,0.5,0.0,0,279057,0.2900513113022427,1.4567613271509503
linear_drift_s00_r00_y1,slow_linear_drift,train,1,0.5,0.5,0,1279057,0.8411402977536255,2.4807626064620716
linear_drift_s00_r01_y0,slow_linear_drift,train,0,0.5,0.0,1,279058,0.49669834308645733,1.906326752838316
linear_drift_s00_r01_y1,slow_linear_drift,train,1,0.5,-0.5,1,1279058,0.01753177719442789,-0.3581491777315474
linear_drift_s00_r02_y0,slow_linear_drift,train,0,0.5,0.0,2,279059,0.005452301355575173,0.1997289012947306
linear_drift_s00_r02_y1,slow_linear_drift,train,1,0.5,0.5,2,1279059,0.003669786315356305,0.1638594057335134
linear_drift_s00_r03_y0,slow_linear_drift,train,0,0.5,0.0,3,279060,0.015781498463979915,0.33980135453435206
linear_drift_s00_r03_y1,slow_linear_drift,train,1,0.5,-0.5,3,1279060,1.8221978869288051,3.6513104189076775
linear_drift_s00_r04_y0,slow_linear_drift,train,0,0.5,0.0,4,279061,0.009294935985728614,0.2607799445316336
linear_drift_s00_r04_y1,slow_linear_drift,train,1,0.5,0.5,4,1279061,0.8924899569815068,2.5553633162039526
linear_drift_s00_r05_y0,slow_linear_drift,train,0,0.5,0.0,5,279062,1.5936107309387708,-3.4146178776964393
linear_drift_s00_r05_y1,slow_linear_drift,train,1,0.5,-0.5,5,1279062,0.0001219830609784367,0.029874507238830627
linear_drift_s00_r06_y0,slow_linear_drift,train,0,0.5,0.0,6,279063,0.1705919250544028,1.1171981865433431
linear_drift_s00_r06_y1,slow_linear_drift,train,1,0.5,0.5,6,1279063,0.2685177717897176,1.4016432967581411
linear_drift_s00_r07_y0,slow_linear_drift,train,0,0.5,0.0,7,279064,2.2597755203951735,4.066152258473711
linear_drift_s00_r07_y1,slow_linear_drift,train,1,0.5,-0.5,7,1279064,0.11944684853904874,-0.934842256435064
linear_drift_s00_r08_y0,slow_linear_drift,train,0,0.5,0.0,8,279065,1.359216849224154,3.15351834537433
linear_drift_s00_r08_y1,slow_linear_drift,train,1,0.5,0.5,8,1279065,0.029159284246915718,-0.46189091143195005
linear_drift_s00_r09_y0,slow_linear_drift,train,0,0.5,0.0,9,279066,0.041713557639319276,-0.5524457065091325
linear_drift_s00_r09_y1,slow_linear_drift,train,1,0.5,-0.5,9,1279066,1.039874482552733,-2.758299671167905
linear_drift_s00_r10_y0,slow_linear_drift,train,0,0.5,0.0,10,279067,2.6371882989182893,4.3925989873488165
linear_drift_s00_r10_y1,slow_linear_drift,train,1,0.5,0.5,10,1279067,0.8473422903846739,2.4898915322021424
linear_drift_s00_r11_y0,slow_linear_drift,train,0,0.5,0.0,11,279068,0.28717175477712686,1.4495121099941985
linear_drift_s00_r11_y1,slow_linear_drift,train,1,0.5,-0.5,11,1279068,0.7601640562378762,-2.35833041626987
