instance_id,family,split,label,frequency_hz,period_days,amplitude_hz,phase_rad,coherence_days,slope_hz_per_day,center_day,width_days,frequency_index,amplitude_index,phase_index,noise_seed,score_weighted_harmonic_regression,pred_frequency_hz_weighted_harmonic_regression,pred_amplitude_hz_weighted_harmonic_regression,score_generalized_lomb_scargle,pred_frequency_hz_generalized_lomb_scargle,pred_amplitude_hz_generalized_lomb_scargle,score_hierarchical_sinusoid_jitter,pred_frequency_hz_hierarchical_sinusoid_jitter,pred_amplitude_hz_hierarchical_sinusoid_jitter
pure_sinusoid_f00_a00_p00_y0,pure_sinusoid,train,0,1.3616557734204792e-06,8.5,0.0,0.1308996938995747,,,,,0,0,0,229043,206.42374387891607,1.1368589955786729e-06,3460.5965091495364,201.8821146071332,1.1368589955786729e-06,3116.3588094404863,5.641724841563633,1.1368589955786729e-06,1506.8600534378302
pure_sinusoid_f00_a00_p00_y1,pure_sinusoid,train,1,1.3616557734204792e-06,8.5,100.0,0.1308996938995747,,,,,0,0,0,1229043,72.0221652216311,5.374565656557718e-07,2100.550442629078,51.930101462665675,5.374565656557718e-07,1614.97182040003,3.580276635886971,1.8986722272333157e-07,1180.2973933973929
pure_sinusoid_f00_a00_p01_y0,pure_sinusoid,train,0,1.3616557734204792e-06,8.5,0.0,0.39269908169872414,,,,,0,0,1,229044,83.1917921437551,5.374565656557718e-07,2025.794272389886,99.44510864888181,5.374565656557718e-07,2118.5317390502805,3.203724094763981,5.374565656557718e-07,1018.3441132882964
pure_sinusoid_f00_a00_p01_y1,pure_sinusoid,train,1,1.3616557734204792e-06,8.5,100.0,0.39269908169872414,,,,,0,0,1,1229044,14.226018387103117,6.348137319971961e-07,877.4868975348147,18.51080274740007,6.348137319971961e-07,834.5041847032752,1.8060117790596486,7.599479152423354e-08,826.1891732726501
pure_sinusoid_f00_a00_p02_y0,pure_sinusoid,train,0,1.3616557734204792e-06,8.5,0.0,0.6544984694978736,,,,,0,0,2,229045,95.94744258845364,4.186865046685988e-07,2202.9385096927376,108.76622317220097,4.016180542053461e-07,2248.46139090687,3.981389918756257,4.186865046685988e-07,985.8783019588142
pure_sinusoid_f00_a00_p02_y1,pure_sinusoid,train,1,1.3616557734204792e-06,8.5,100.0,0.6544984694978736,,,,,0,0,2,1229045,41.02899076778195,8.495255745049013e-07,1306.5622492267482,40.39508371083434,8.495255745049013e-07,1329.529396887981,6.889014743154636,1.2355435917708677e-06,1360.0174213212917
pure_sinusoid_f00_a00_p03_y0,pure_sinusoid,train,0,1.3616557734204792e-06,8.5,0.0,0.916297857297023,,,,,0,0,3,229046,78.84463307155647,4.016180542053461e-07,2018.1392449913299,83.72970141625058,4.016180542053461e-07,1980.7838229735266,5.634468039282201,4.016180542053461e-07,1241.6514381720995
pure_sinusoid_f00_a00_p03_y1,pure_sinusoid,train,1,1.3616557734204792e-06,8.5,100.0,0.916297857297023,,,,,0,0,3,1229046,33.83587640983866,4.945291574236076e-07,1437.9320155014866,32.72708733120754,4.945291574236076e-07,1405.3700652147877,3.7674870897345514,6.617928147962146e-07,1045.8278265955782
pure_sinusoid_f00_a00_p04_y0,pure_sinusoid,train,0,1.3616557734204792e-06,8.5,0.0,1.1780972450961724,,,,,0,0,4,229047,53.518409454373256,6.617928147962146e-07,1841.9591312841958,52.205006531354684,6.617928147962146e-07,1639.4141772866587,8.489905897391125,6.617928147962146e-07,1528.6619635902769
pure_sinusoid_f00_a00_p04_y1,pure_sinusoid,train,1,1.3616557734204792e-06,8.5,100.0,1.1780972450961724,,,,,0,0,4,1229047,34.958785213236396,6.899184873301248e-07,1401.347099412201,32.75494683723876,6.899184873301248e-07,1195.8554378187632,2.1830215320117734,6.899184873301248e-07,790.6825981242913
pure_sinusoid_f00_a00_p05_y0,pure_sinusoid,train,0,1.3616557734204792e-06,8.5,0.0,1.4398966328953218,,,,,0,0,5,229048,34.51166666256205,4.5503042137685423e-07,1372.6385053195622,24.466373378621768,8.148932540837282e-07,993.2593214735618,5.563806424136583,7.922451021096715e-08,1070.4348791732566
