instance_id,family,split,label,frequency_hz,period_days,amplitude_hz,phase_rad,coherence_days,slope_hz_per_day,center_day,width_days,frequency_index,amplitude_index,phase_index,noise_seed
damped_tau180_f00_a00_p00_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,0.1308996938995747,,,,,0,0,0,229026
damped_tau180_f00_a00_p00_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,0.1308996938995747,,,,,0,0,0,1229026
damped_tau180_f00_a00_p01_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,0.39269908169872414,,,,,0,0,1,229027
damped_tau180_f00_a00_p01_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,0.39269908169872414,,,,,0,0,1,1229027
damped_tau180_f00_a00_p02_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,0.6544984694978736,,,,,0,0,2,229028
damped_tau180_f00_a00_p02_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,0.6544984694978736,,,,,0,0,2,1229028
damped_tau180_f00_a00_p03_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,0.916297857297023,,,,,0,0,3,229029
damped_tau180_f00_a00_p03_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,0.916297857297023,,,,,0,0,3,1229029
damped_tau180_f00_a00_p04_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,1.1780972450961724,,,,,0,0,4,229030
damped_tau180_f00_a00_p04_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,1.1780972450961724,,,,,0,0,4,1229030
damped_tau180_f00_a00_p05_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,1.4398966328953218,,,,,0,0,5,229031
damped_tau180_f00_a00_p05_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,1.4398966328953218,,,,,0,0,5,1229031
damped_tau180_f00_a00_p06_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,1.7016960206944713,,,,,0,0,6,229032
damped_tau180_f00_a00_p06_y1,damped_sinusoid,train,1,1.6534391534391535e-06,7.0,100.0,1.7016960206944713,,,,,0,0,6,1229032
damped_tau180_f00_a00_p07_y0,damped_sinusoid,train,0,1.6534391534391535e-06,7.0,0.0,1.9634954084936205,,,,,0,0,7,229033
