scan_time_raw,correction,laser,fitting_function,sweep_range_khz,linear_baseline_subtraction,peak,target,fwhm_khz,fwhm_unc_khz,amp,amp_unc,baseline,baseline_unc,chisq_red,freq_hz,freq_unc_hz,temp_k,scan_time_utc,time_unix_s,mjd,scan_id,days_since_first_observation,seconds_since_first_observation,folder_name,has_data,has_data_corr,has_fits,has_intensity,n_files,files,selection_reason,canonical_strategy
2024-05-30 04:13:20+00:00,mem,fceo lock,lorentzian,100,none,b,X2,142.64999502608535,23.83542096362484,100.22204589508618,9.183541698556136,433.0788456962976,4.292033952687706,47.44716702376856,2020407298727846.5,11385.972065804945,150.0,2024-05-30 04:13:20+00:00,1717042400.0,60460.17592592593,2024-05-30T04:13:20Z__X2__b,0.0,0.0,2024_05_30_X2_peakb_CT,True,False,True,False,2,"['2024_05_30_X2_peakb_CT_data.pkl', '2024_05_30_X2_peakb_CT_fits.pkl']",mem_fallback_missing_mem_int,mem_int_else_mem_fallback
2024-05-30 07:58:29+00:00,mem,fceo lock,lorentzian,100,none,c,X2,186.48496855081893,39.219124012448646,141.68180637449245,14.121032067836817,438.50759822056057,6.604822393154399,67.05422159014316,2020407446890428.0,7097.368502835745,150.0,2024-05-30 07:58:29+00:00,1717055909.0,60460.332280092596,2024-05-30T07:58:29Z__X2__c,0.15635416666666666,13509.0,2024_05_30_X2_peakc_j1_CT,True,False,True,False,2,"['2024_05_30_X2_peakc_j1_CT_data.pkl', '2024_05_30_X2_peakc_j1_CT_fits.pkl']",mem_fallback_missing_mem_int,mem_int_else_mem_fallback
2024-05-31 01:28:57+00:00,mem,fceo lock,lorentzian,100,none,c,X2,172.17078086791716,11.259210372590475,468.12694230104165,16.95459503330517,470.00000000000006,6.5636676514933034,77.84954038218628,2020407446893890.8,2585.96700302494,150.0,2024-05-31 01:28:57+00:00,1717118937.0,60461.06177083333,2024-05-31T01:28:57Z__X2__c,0.8858449074074074,76537.0,2024_05_30_X2_peakc_CT,True,False,True,False,2,"['2024_05-30_X2_peakc_CT_data.pkl', '2024_05-30_X2_peakc_CT_fits.pkl']",mem_fallback_missing_mem_int,mem_int_else_mem_fallback
2024-05-31 06:06:02+00:00,mem,fceo lock,lorentzian,100,none,b,X2,132.91832295398552,13.924208383167178,699.9999999999999,43.19950370388247,443.86385436464013,14.366652137302504,337.3139267798942,2020407298728327.2,5276.398029673223,150.0,2024-05-31 06:06:02+00:00,1717135562.0,60461.25418981482,2024-05-31T06:06:02Z__X2__b,1.078263888888889,93162.0,2024_05_31_X2_peakb_CT,True,False,True,False,2,"['2024_05_31_X2_peakb_CT_data.pkl', '2024_05_31_X2_peakb_CT_fits.pkl']",mem_fallback_missing_mem_int,mem_int_else_mem_fallback
2024-06-24 21:05:24+00:00,mem int,fceo lock,lorentzian,100,none,b,X2,127.40322122716422,22.06113223948567,699.9999999999974,89.94169214475271,402.6677172093592,12.44159722758833,582.3898197541364,2020407298801948.8,5882.520727372437,293.1,2024-06-24 21:05:24+00:00,1719263124.0,60485.87875,2024-06-24T21:05:24Z__X2__b,25.702824074074073,2220724.0,2024_06_24_X2_peakb_RT,True,False,True,False,2,"['2024_06_24_X2_peakb_RT_data.pkl', '2024_06_24_X2_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback
2024-06-25 20:25:39+00:00,mem int,fceo lock,lorentzian,100,none,b,X2,153.44138145777285,65.29335207017684,509.54046098102293,125.47009122320608,467.00000000000006,39.56178436646885,3021.6878981092545,2020407298733626.8,13510.464407019634,150.51,2024-06-25 20:25:39+00:00,1719347139.0,60486.85114583334,2024-06-25T20:25:39Z__X2__b,26.675219907407406,2304739.0,2024_06_25_X2_peakb_CT,True,False,True,False,2,"['2024_06_25_X2_peakb_CT_data.pkl', '2024_06_25_X2_peakb_CT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback
2024-07-01 17:51:35+00:00,mem int,fceo lock,lorentzian,100,none,c,X2,169.56783990307713,13.843850773837948,332.9970085217814,15.825887390343048,411.00000000000006,7.117523916238717,90.36263548735876,2020407444556345.2,3872.168354172955,293.0,2024-07-01 17:51:35+00:00,1719856295.0,60492.744155092594,2024-07-01T17:51:35Z__X2__c,32.56822916666667,2813895.0,2024_07_01_X2_peakc_RT,True,False,True,False,2,"['2024_07_01_X2_peakc_RT_data.pkl', '2024_07_01_X2_peakc_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback
2024-07-05 19:58:34+00:00,mem int,fceo lock,lorentzian,100,none,b,X2,113.21979207615468,10.511865648032826,533.5020357217393,27.52952041447972,442.00000000000995,9.528245031348192,210.99418102007533,2020407298713067.2,4038.8809972706567,229.3,2024-07-05 19:58:34+00:00,1720209514.0,60496.83233796296,2024-07-05T19:58:34Z__X2__b,36.656412037037036,3167114.0,2024_07_05_X2_peakb_DT,True,False,True,False,2,"['2024_07_05_X2_peakb_DT_data.pkl', '2024_07_05_X2_peakb_DT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback
2024-07-06 00:05:31+00:00,mem int,fceo lock,lorentzian,100,none,c,X2,181.5335550168272,26.579771587950425,283.012474078538,24.028794354559853,445.00000000000006,11.58143042685712,213.0113374748744,2020407445667391.5,7165.126442098634,229.3,2024-07-06 00:05:31+00:00,1720224331.0,60497.00383101852,2024-07-06T00:05:31Z__X2__c,36.827905092592594,3181931.0,2024_07_05_X2_peakc_DT,True,False,True,False,2,"['2024_07_05_X2_peakc_DT_data.pkl', '2024_07_05_X2_peakc_DT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback
2024-09-06 21:43:44+00:00,mem int,fceo lock,lorentzian,100,none,c,X2,193.75422237881227,37.584583435915576,446.96473092868496,44.83760573899927,335.3554478269729,24.32127485923527,725.068592744621,2020407444554880.5,8957.400795787027,293.0,2024-09-06 21:43:44+00:00,1725659024.0,60559.90537037037,2024-09-06T21:43:44Z__X2__c,99.72944444444444,8616624.0,2024_09_06_X2_peakc_RT,True,False,True,False,2,"['2024_09_06_X2_peakc_RT_data.pkl', '2024_09_06_X2_peakc_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback
