feature,importance
wls_power_365d,0.08684130573824662
wls_power_240d,0.07523984093786187
wls_power_180d,0.07313444289171804
wls_power_120d,0.06192882144014192
wls_power_90d,0.06075675931179874
wls_power_21d,0.05677269070323573
wls_power_45d,0.05514917499750736
wls_power_60d,0.052314297995190315
wls_power_10d,0.04993528492301851
wls_power_14d,0.049529831725217736
wls_power_7d,0.049333296567320634
wls_power_30d,0.048071612139520215
autocorr_lag1,0.045997747933086926
mean_hz,0.04439692707008433
variance_hz2,0.04327127883818182
min_hz,0.041240964229585925
max_hz,0.04013670355613117
peak_to_peak_hz,0.03407971339739521
range_hz,0.03186930560475688
