period_days,frequency_hz,a95_hz,baseline
7.0,1.6534391534391535e-06,3116.6666666666665,weighted_harmonic_regression
10.0,1.1574074074074074e-06,4175.0,weighted_harmonic_regression
14.0,8.267195767195768e-07,3075.0,weighted_harmonic_regression
21.0,5.511463844797178e-07,3116.6666666666665,weighted_harmonic_regression
30.0,3.8580246913580245e-07,2950.0,weighted_harmonic_regression
45.0,2.57201646090535e-07,3116.6666666666665,weighted_harmonic_regression
60.0,1.9290123456790122e-07,4175.0,weighted_harmonic_regression
90.0,1.286008230452675e-07,3116.6666666666665,weighted_harmonic_regression
120.0,9.645061728395061e-08,2950.0,weighted_harmonic_regression
180.0,6.430041152263375e-08,4418.75,weighted_harmonic_regression
240.0,4.8225308641975306e-08,6333.333333333333,weighted_harmonic_regression
365.0,3.1709791983764586e-08,4337.5,weighted_harmonic_regression
7.0,1.6534391534391535e-06,3075.0,generalized_lomb_scargle
10.0,1.1574074074074074e-06,4175.0,generalized_lomb_scargle
14.0,8.267195767195768e-07,3075.0,generalized_lomb_scargle
21.0,5.511463844797178e-07,3075.0,generalized_lomb_scargle
30.0,3.8580246913580245e-07,2950.0,generalized_lomb_scargle
45.0,2.57201646090535e-07,3116.6666666666665,generalized_lomb_scargle
60.0,1.9290123456790122e-07,4175.0,generalized_lomb_scargle
90.0,1.286008230452675e-07,2950.0,generalized_lomb_scargle
120.0,9.645061728395061e-08,2950.0,generalized_lomb_scargle
180.0,6.430041152263375e-08,3075.0,generalized_lomb_scargle
240.0,4.8225308641975306e-08,2112.5,generalized_lomb_scargle
365.0,3.1709791983764586e-08,2950.0,generalized_lomb_scargle
7.0,1.6534391534391535e-06,2950.0,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,2112.5,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,1437.5,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,1375.0,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,968.75,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,2141.6666666666665,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,3075.0,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,1475.0,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,1437.5,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,2950.0,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,3075.0,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,2025.0,hierarchical_sinusoid_jitter
