baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source
weighted_harmonic_regression,7.0,1.6534391534391535e-06,3116.6666666666665,3116.6666666666665,3075.0,3137.5,161.32985620392083,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,10.0,1.1574074074074074e-06,4175.0,3150.0,3075.0,4337.5,802.8361520623827,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,14.0,8.267195767195768e-07,3075.0,3075.0,2950.0,3116.6666666666665,350.72837201078175,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,21.0,5.511463844797178e-07,3116.6666666666665,3116.6666666666665,3075.0,3137.5,270.0947192395866,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,30.0,3.8580246913580245e-07,2950.0,2950.0,2025.0,3075.0,535.6307569222581,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,45.0,2.57201646090535e-07,3116.6666666666665,3116.6666666666665,3075.0,3137.5,122.33235102920784,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,60.0,1.9290123456790122e-07,4175.0,4175.0,3075.0,4337.5,654.7591271817275,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,90.0,1.286008230452675e-07,3116.6666666666665,3116.6666666666665,3075.0,3137.5,76.60878574143945,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,120.0,9.645061728395061e-08,2950.0,2950.0,2156.25,3075.0,397.902858520456,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,180.0,6.430041152263375e-08,4418.75,4418.75,4391.666666666666,4435.0,29.263767130475035,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,240.0,4.8225308641975306e-08,6333.333333333333,6250.0,6000.0,6333.333333333333,590.2635069988792,500,360,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
weighted_harmonic_regression,365.0,3.1709791983764586e-08,4337.5,4337.5,3148.0,4391.666666666666,682.6614617029765,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,7.0,1.6534391534391535e-06,3075.0,3075.0,2950.0,3116.6666666666665,247.70024454272905,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,10.0,1.1574074074074074e-06,4175.0,3137.5,2950.0,4337.5,823.6330206519972,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,14.0,8.267195767195768e-07,3075.0,3075.0,2950.0,3116.6666666666665,378.12264685769173,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,21.0,5.511463844797178e-07,3075.0,3075.0,2950.0,3137.5,509.9079031310663,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,30.0,3.8580246913580245e-07,2950.0,2950.0,2025.0,3075.0,520.220346877701,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,45.0,2.57201646090535e-07,3116.6666666666665,3116.6666666666665,3075.0,3137.5,358.78991054495134,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,60.0,1.9290123456790122e-07,4175.0,4175.0,2950.0,4337.5,775.9748604282659,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,90.0,1.286008230452675e-07,2950.0,2950.0,2165.0,3075.0,399.38887323843494,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,120.0,9.645061728395061e-08,2950.0,2950.0,2156.25,3075.0,444.5412093219443,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,180.0,6.430041152263375e-08,3075.0,3075.0,2950.0,3116.6666666666665,293.5230948040262,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,240.0,4.8225308641975306e-08,2112.5,2112.5,2025.0,2141.6666666666665,187.99948175903745,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
generalized_lomb_scargle,365.0,3.1709791983764586e-08,2950.0,2950.0,2156.25,3075.0,400.60186219802796,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
hierarchical_sinusoid_jitter,7.0,1.6534391534391535e-06,2950.0,2112.5,1437.5,3075.0,721.4305630611652,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
hierarchical_sinusoid_jitter,10.0,1.1574074074074074e-06,2112.5,2112.5,2025.0,2141.6666666666665,277.03017209322167,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
hierarchical_sinusoid_jitter,14.0,8.267195767195768e-07,1437.5,1437.5,1375.0,2025.0,288.80818019563895,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
hierarchical_sinusoid_jitter,21.0,5.511463844797178e-07,1375.0,1375.0,937.5,1437.5,250.71882753609944,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
