period_days,frequency_hz,amplitude_hz,roc_auc,detection_rate_at_validation_fpr5,n_test_signal,n_test_null,baseline
7.0,1.6534391534391535e-06,100.0,0.4760606060606061,0.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,200.0,0.6084848484848485,0.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,350.0,0.5018181818181817,0.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,500.0,0.5039393939393939,0.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,750.0,0.5218181818181818,0.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,1000.0,0.9309090909090909,0.4,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,1500.0,0.9236363636363637,0.8,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,2200.0,0.9657575757575758,0.8,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
7.0,1.6534391534391535e-06,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,100.0,0.3942424242424243,0.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,200.0,0.6124242424242424,0.2,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,350.0,0.36575757575757584,0.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,500.0,0.500909090909091,0.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,750.0,0.7006060606060606,0.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,1000.0,0.9521212121212121,0.4,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,1500.0,0.8203030303030303,0.6,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,2200.0,0.993030303030303,1.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
10.0,1.1574074074074074e-06,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,100.0,0.4918181818181818,0.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,200.0,0.4606060606060606,0.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,350.0,0.38363636363636366,0.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,500.0,0.6393939393939394,0.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,750.0,0.6384848484848484,0.2,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,1000.0,0.8275757575757576,0.6,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,1500.0,0.9881818181818182,1.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,2200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
14.0,8.267195767195768e-07,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,100.0,0.43727272727272726,0.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,200.0,0.6215151515151516,0.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,350.0,0.6548484848484849,0.2,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,500.0,0.7087878787878789,0.2,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,750.0,0.826060606060606,0.6,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,1000.0,0.9663636363636363,0.8,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,1500.0,0.9981818181818182,1.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,2200.0,0.9993939393939394,1.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
21.0,5.511463844797178e-07,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,100.0,0.3487878787878788,0.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,200.0,0.5281818181818182,0.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,350.0,0.6551515151515152,0.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,500.0,0.6996969696969697,0.4,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,750.0,0.8684848484848485,0.6,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,1000.0,0.9881818181818182,1.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,1500.0,0.9842424242424243,0.8,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,2200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
30.0,3.8580246913580245e-07,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,100.0,0.5148484848484849,0.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,200.0,0.6657575757575758,0.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,350.0,0.6339393939393939,0.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,500.0,0.610909090909091,0.2,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,750.0,0.7957575757575757,0.2,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,1000.0,0.886969696969697,0.8,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,1500.0,0.8857575757575757,0.4,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,2200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
45.0,2.57201646090535e-07,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,100.0,0.743939393939394,0.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,200.0,0.3284848484848485,0.0,5,660,hierarchical_sinusoid_jitter
