family,period_days,frequency_hz,amplitude_hz,is_primary_grid,coherence_days,slope_hz_per_day,center_day,width_days
pure_sinusoid,7.0,1.6534391534391535e-06,100.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,200.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,350.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,500.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,750.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,1000.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,1500.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,2200.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,3200.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,4500.0,True,,,,
pure_sinusoid,7.0,1.6534391534391535e-06,6500.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,100.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,200.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,350.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,500.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,750.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,1000.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,1500.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,2200.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,3200.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,4500.0,True,,,,
pure_sinusoid,10.0,1.1574074074074074e-06,6500.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,100.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,200.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,350.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,500.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,750.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,1000.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,1500.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,2200.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,3200.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,4500.0,True,,,,
pure_sinusoid,14.0,8.267195767195768e-07,6500.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,100.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,200.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,350.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,500.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,750.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,1000.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,1500.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,2200.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,3200.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,4500.0,True,,,,
pure_sinusoid,21.0,5.511463844797178e-07,6500.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,100.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,200.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,350.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,500.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,750.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,1000.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,1500.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,2200.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,3200.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,4500.0,True,,,,
pure_sinusoid,30.0,3.8580246913580245e-07,6500.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,100.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,200.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,350.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,500.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,750.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,1000.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,1500.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,2200.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,3200.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,4500.0,True,,,,
pure_sinusoid,45.0,2.57201646090535e-07,6500.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,100.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,200.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,350.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,500.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,750.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,1000.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,1500.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,2200.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,3200.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,4500.0,True,,,,
pure_sinusoid,60.0,1.9290123456790122e-07,6500.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,100.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,200.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,350.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,500.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,750.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,1000.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,1500.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,2200.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,3200.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,4500.0,True,,,,
pure_sinusoid,90.0,1.286008230452675e-07,6500.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,100.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,200.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,350.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,500.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,750.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,1000.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,1500.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,2200.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,3200.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,4500.0,True,,,,
pure_sinusoid,120.0,9.645061728395061e-08,6500.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,100.0,True,,,,
