baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source
sbi_npe,7.0,1.6534391534391535e-06,,2141.6666666666665,2141.6666666666665,2141.6666666666665,0.0,20,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,10.0,1.1574074074074074e-06,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,14.0,8.267195767195768e-07,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,21.0,5.511463844797178e-07,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,30.0,3.8580246913580245e-07,,3116.6666666666665,737.5,3137.5,1126.4924942076502,20,6,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,45.0,2.57201646090535e-07,6400.0,6400.0,6400.0,6400.0,0.0,20,19,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,60.0,1.9290123456790122e-07,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,90.0,1.286008230452675e-07,,6333.333333333333,6333.333333333333,6333.333333333333,0.0,20,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,120.0,9.645061728395061e-08,,6400.0,4193.25,6400.0,1837.5976536551057,20,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,180.0,6.430041152263375e-08,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,240.0,4.8225308641975306e-08,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,365.0,3.1709791983764586e-08,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
