baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source
sbi_npe,7.0,1.6534391534391535e-06,,3133.333333333333,3050.0,6400.0,1569.622040099282,20,6,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,10.0,1.1574074074074074e-06,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,14.0,8.267195767195768e-07,,6375.0,6375.0,6375.0,0.0,20,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,21.0,5.511463844797178e-07,6333.333333333333,6333.333333333333,6250.0,6375.0,438.21957488694727,20,19,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,30.0,3.8580246913580245e-07,,418.75,202.0,635.5,318.75,20,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,45.0,2.57201646090535e-07,,6400.0,4197.8,6400.0,1833.8087925135487,20,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,60.0,1.9290123456790122e-07,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,90.0,1.286008230452675e-07,,6000.0,4418.75,6180.0,853.9967084751672,20,9,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,120.0,9.645061728395061e-08,,6125.0,4001.25,6250.0,1739.5579932036615,20,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,180.0,6.430041152263375e-08,,4435.0,4435.0,6000.0,706.9949340233592,20,7,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,240.0,4.8225308641975306e-08,,,,,,20,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
sbi_npe,365.0,3.1709791983764586e-08,,6400.0,6400.0,6400.0,0.0,20,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
